Mawiiep,RT @PiPemc: #earthquake #temblor barbados. 7.3 en la escala. https://t.co/QIzrv27OtR,#earthquake #temblor barbados. 7.3 en la escala. https://t.co/QIzrv27OtR,Thu Aug 23 11:24:33 +0000 2018
MeeFynance,Venezuelans already reeling from currency hit as earthquake strikes https://t.co/n03KzNoepA https://t.co/mZeqPnCVQN,,Thu Aug 23 07:02:49 +0000 2018
verdespacial,"RT @ElLuchin1: 🇮🇩IMPRESIONANTE 😮VIDEO DEL #TERREMOTO 7.0 
DEL 5/AGO que Azoto a #Lombok #Bali #Indonesia🇮🇩 
Dale RT Si pensaste que era un…","🇮🇩IMPRESIONANTE 😮VIDEO DEL #TERREMOTO 7.0 
DEL 5/AGO que Azoto a #Lombok #Bali #Indonesia🇮🇩 
Dale RT Si pensaste que era un #Tagada #LaOlla
#Temblor #Sismo #Lluvia #Storm #Earthquake 
#Coqueteoinsipido #LaMañana #PapasFritas #AlvaroSalas
#RegresoAClasesY #CDMX #VisibleWomen https://t.co/sLKANpriTE",Thu Aug 23 07:02:37 +0000 2018
UsmanAnwar78,Venezuelans already reeling from currency hit as earthquake strikes https://t.co/zl48LpKz6I,,Thu Aug 23 07:00:51 +0000 2018
tabemonotaberu,"RT @Breaking911: WATCH: A 7.3 Magnitude Earthquake Strikes Northern Venezuela.

https://t.co/j65UfK1ane","WATCH: A 7.3 Magnitude Earthquake Strikes Northern Venezuela.

https://t.co/j65UfK1ane",Thu Aug 23 06:57:56 +0000 2018
BRENDAKSHELTON,I liked a @YouTube video https://t.co/MwxkkSDjHg 8/22/18 10pm Earthquake Update Dutchsinse,,Thu Aug 23 06:51:36 +0000 2018
andiR83,I liked a @YouTube video https://t.co/42SMjmeggL CCTV Gempa / Earthquake 7.0 Magnitudo Lombok 5 Agustus 2018,,Thu Aug 23 06:48:00 +0000 2018
Paradiseneverlo,"RT @JamaicaGleaner: BREAKING NEWS: Major 7.0 magnitude earthquake hits Venezuela. Caribbean countries of Grenada, Barbados and Trinidad and…","BREAKING NEWS: Major 7.0 magnitude earthquake hits Venezuela. Caribbean countries of Grenada, Barbados and Trinidad and Tobago have also been significantly impacted with the tremor measuring up to 6.8 in Trinidad. A video via WhatsApp shows damage to one commercial building. https://t.co/cnbLRp0stM",Thu Aug 23 06:41:25 +0000 2018
TriniPandaa,Pray for my country Trinidad and Tobago as they just experienced a bad earthquake 🇹🇹 #PrayForTrinidad 🇹🇹 also Grenada 🇬🇩 and Venezuela 🇻🇪 who has also been touched by the earthquake 😔🙏🏾 https://t.co/vpfujgZUNQ,,Thu Aug 23 06:37:41 +0000 2018
suntzu360,I liked a @YouTube video https://t.co/Zz0TBLtYYH Earthquake 3D Live Seismic Stream - LIVE EARTHQUAKES 24/7,,Thu Aug 23 06:35:22 +0000 2018
ayeendmj,RT @safiraxx: SUBHANALLAH.. the earthquake wasn't a reason to leave the prayer 😭 https://t.co/lSGIgm7tBC,SUBHANALLAH.. the earthquake wasn't a reason to leave the prayer 😭 https://t.co/lSGIgm7tBC,Thu Aug 23 06:27:03 +0000 2018
DarkMinimize09,I liked a @YouTube video https://t.co/nWefqV2NM4 Indonesian imam continues prayers in Bali during earthquake,,Thu Aug 23 06:17:53 +0000 2018
Brendaaloiau,"RT @dutchsinse: Major earthquake activity taking place now --- Don't be scared -- BE PREPARED!

_____

Full video explanation, and what we'…","Major earthquake activity taking place now --- Don't be scared -- BE PREPARED!

_____

Full video explanation, and what we're expecting to occur here...

8/21/2018 -- Global Seismic Unrest underway -- Earthquakes progressing across planet -- BE PREPARED

https://t.co/jhdMpbTIS4",Thu Aug 23 06:09:51 +0000 2018
anischau89,"Brunette Ex Girlfriend Sidney Alexis Getting Fucked Point Of View
 https://t.co/Me3zIhPWUU 
 destiny dixon hardcore tube free busty brunette teacher at school going throught an earthquake full video  POV ebny mynakedexgirlfriend passwords exgfsvi",,Thu Aug 23 06:09:16 +0000 2018
Sheresade7,"RT @Meteovargas: Trinidad y Tobago tras sismo en Sucre, Venezuela: Sails Restaurant in Chaguaramas experienced significant structure damage…","Trinidad y Tobago tras sismo en Sucre, Venezuela: Sails Restaurant in Chaguaramas experienced significant structure damage due to this afternoon's earthquake https://t.co/3ryBclqPpL vía @tv6tnt",Thu Aug 23 06:07:36 +0000 2018
Indounik,"Check out the mover &amp; shaker of a boy at the front of this cute video made by the kids at Peduli Anak, an NGO caring for about 80 disadvantaged children whose dorms, classrooms &amp; other buildings were destroyed in the 5 August M7.0 Lombok earthquake https://t.co/uNJx7N9o07",,Thu Aug 23 06:02:37 +0000 2018
davina_rivers,"RT @corelionnews: Trinidad and Tobago earthquake in Sucre, Venezuela: Sails Restaurant in Chaguaramas experienced significant structure dam…","Trinidad and Tobago earthquake in Sucre, Venezuela: Sails Restaurant in Chaguaramas experienced significant structure damage due yesterday earthquake. 
https://t.co/QTSyb1eqUc

#corelionnews #new #new #venezuela #sucre #trinidadandtobago #earthquake #tremor #chaguaramas #travel https://t.co/rvTasHo9xr",Thu Aug 23 05:56:23 +0000 2018
davina_rivers,RT @MarkBassant1: Part of mountain in West Trinidad collapses after 7.3 earthquake@cnni https://t.co/SpIza3ttpp,Part of mountain in West Trinidad collapses after 7.3 earthquake@cnni https://t.co/SpIza3ttpp,Thu Aug 23 05:54:38 +0000 2018
johnboye2,RT @AltonPuzzle26: Reports of earthquake in Trinidad and other parts of the EC https://t.co/Jr13YuEobq,Reports of earthquake in Trinidad and other parts of the EC https://t.co/Jr13YuEobq,Thu Aug 23 05:48:19 +0000 2018
TyDonevski,RT @JackLargo: Share this video https://t.co/Hts5qt5oTc,Share this video https://t.co/Hts5qt5oTc,Thu Aug 23 05:47:15 +0000 2018
MichaelJFell,"You really can't fix stupid...

Video: Venezuelan Leader Celebrates ‘Socialist’ Earthquake https://t.co/aYMZLk9GU3",,Thu Aug 23 05:45:48 +0000 2018
JackLargo,Share this video https://t.co/Hts5qt5oTc,,Thu Aug 23 05:44:14 +0000 2018
Jacaranda7549,RT @steveneberlein1: The last major earthquake along the Seattle Fault occurred just over 1000 years ago. The force of this 7M quake launch…,"The last major earthquake along the Seattle Fault occurred just over 1000 years ago. The force of this 7M quake launched Restoration Point 22 feet out of the Sound.
.
.
.
.
#earthquake #preparedness #prepare #emergency #prepareoutloud #planahead #earthquakepreparedness #seattle https://t.co/o18mcXFv4E",Thu Aug 23 05:42:41 +0000 2018
reg_963,"RT @LDanieri: #temblor 

El #terremoto en #Venezuela que se sintió de punta a punta en el país, también afectó al Caribe, Trinidad y Tobago…","#temblor 

El #terremoto en #Venezuela que se sintió de punta a punta en el país, también afectó al Caribe, Trinidad y Tobago. Video cortesía #21Ago #earthquake #venezuela #Earthquake https://t.co/36IsM5cMRd",Thu Aug 23 05:26:26 +0000 2018
ViewtifulJimm,RT @SafetyFlrst: Earthquake Hits Liquor Store https://t.co/TW4f3SxKvO,Earthquake Hits Liquor Store https://t.co/TW4f3SxKvO,Thu Aug 23 05:19:46 +0000 2018
LindaRicaLIVE,I added a video to a @YouTube playlist https://t.co/4O6Lie4Y7t The Ring of Fire Is Heating Up! M6.2 Earthquake Hits Off Oregon Coast,,Thu Aug 23 05:13:10 +0000 2018
